Station,Date,Temperature (Degree Celcius),Relative Humidity (%),MSL pressure (hPa)
Melbourne,2014-06-01,9.4,69,1023.9
Melbourne,2014-06-02,9.5,82,1029.4
Melbourne,2014-06-03,9.4,78,1025.3
Melbourne,2014-06-04,8.9,62,1015.8
Melbourne,2014-06-05,9.2,91,1020.4
Melbourne,2014-06-06,13.5,88,1026.9
Melbourne,2014-06-07,13.6,70,1019
Melbourne,2014-06-08,13.8,79,1012.5
Melbourne,2014-06-09,10.1,72,1020.3
Melbourne,2014-06-10,10.9,65,1035.4
Melbourne,2014-06-11,10.5,84,1038.1
Melbourne,2014-06-12,9.8,82,1034.4
Melbourne,2014-06-13,13.4,70,1028.6
Melbourne,2014-06-14,13.1,88,1027.4
Melbourne,2014-06-15,12,87,1026
Melbourne,2014-06-16,11.8,97,1017.5
Melbourne,2014-06-17,12.5,93,1013.9
Melbourne,2014-06-18,11.9,74,1021.9
Melbourne,2014-06-19,9.9,69,1025.3
Melbourne,2014-06-20,8.1,90,1028
Melbourne,2014-06-21,9,75,1028
Melbourne,2014-06-22,9.2,61,1019.7
Melbourne,2014-06-23,13.2,62,1015.1
Melbourne,2014-06-24,10.5,91,1018.6
Melbourne,2014-06-25,10.6,90,1027.2
Melbourne,2014-06-26,10.6,91,1031.9
Melbourne,2014-06-27,11.5,83,1031.2
Melbourne,2014-06-28,12.3,75,1032.8
Melbourne,2014-06-29,11.8,81,1032.9
Melbourne,2014-06-30,10.5,79,1028.8
Melbourne,2014-07-01,10.6,68,1025.9
Melbourne,2014-07-02,9.4,65,1021.2
Melbourne,2014-07-03,7.6,89,1028
Melbourne,2014-07-04,10.7,84,1020.4
Melbourne,2014-07-05,11.2,70,1017.6
Melbourne,2014-07-06,10.7,68,1013.7
Melbourne,2014-07-07,11.2,90,1022.1
Melbourne,2014-07-08,10.9,74,1026.1
Melbourne,2014-07-09,12.3,62,1025.1
Melbourne,2014-07-10,10.9,67,1013.9
Melbourne,2014-07-11,7.8,89,1003.4
Melbourne,2014-07-12,9.7,92,1007.4
Melbourne,2014-07-13,10.4,81,1013.4
Melbourne,2014-07-14,7,87,1010.4
Melbourne,2014-07-15,6.1,93,1016.4
Melbourne,2014-07-16,10.5,64,1026.1
Melbourne,2014-07-17,9.8,86,1023.3
Melbourne,2014-07-18,9,69,1031.9
Melbourne,2014-07-19,7,68,1033.4
Melbourne,2014-07-20,7,79,1031.7
Melbourne,2014-07-21,11.3,58,1020.8
Melbourne,2014-07-22,10.9,75,1015.2
Melbourne,2014-07-23,10.4,76,1024.5
Melbourne,2014-07-24,11.6,74,1009.9
Melbourne,2014-07-25,8.7,86,1009.8
Melbourne,2014-07-26,4.9,86,1009.4
Melbourne,2014-07-27,10,77,1026.8
